"","①　R7~R8クレーム率推移・口コミ指摘率 R7データ（去年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","R8データ（今年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","全員","","R8","","","","","","","","","","","12月","1日","口コミ","","","","排水口に髪の毛が溜まっている","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","月","","クレーム種別","","メイド","","","","","","","","","11月","27日","口コミ","","","","カビがありました。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","","汚れ","","ラディカ","","","","","","","","","12月","6日","手配ミス","","ティン","ラディカ","Ｓ２メイクが一名分セット漏れ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","","手配ミス","","","","","","","","","","","12月","8日","口コミ","","","","スリッパ2つとも破れていました。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","","セット漏れ","","オニタ","","","","","","","","","12月","13日","セット漏れ","","ヤン","タパ","スリッパのセット漏れ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","","汚れ","","ラディカ","","","","","","","","","12月","13日","セット漏れ","","ヤン","タパ","スリッパのセット漏れ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","","口コミ","","","","","","","","","","","12月","13日","口コミ","","","","「トイレに掃除機があれば」","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","","口コミ","","","","","","","","","","","10月","","","","ヤン","","清掃方法間違え","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","","手配ミス","","ラマ","","","","","","","","","10月","","","","ヤン","","誤入室","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","","汚れ","","バンダリ","","","","","","","","","12月","23日","その他","","","ヤム","誤入室","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","","髪の毛","","バンダリ","","","","","","","","","1月","3日","手配ミス","","ティン","ヤム","1月3日にT3の指示を頂いていたが当日はメイク変更を行わず、1月5日にお客様が宿泊しようとした際、二名分しか用意されていないとフロントに報告。フロントさんが代わりに別の部屋をT３メイクに変更してくれた。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","11日","その他","","ヤン","デビ、バンダリ","お客様がシャワーを利用しよとした際にやけどを負ってしまった。また、浴室の床が汚れており、お客様自身が掃除をしてそのタオルも提出してもらい実物を確認済み","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","14日","セット漏れ","","ティン","","リセッシュがセットされていなかった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","21日","手配ミス","","ティン","","1/20に417から掛け布団を抜いていると指示書に記載されていたが、チェッカーが指示書の確認をしていなかった","","","","","","","","","","","","","","","","","","","","","","","","","",""
