"","①　R7~R8クレーム率推移・口コミ指摘率 R7データ（去年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","R8データ（今年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","ウェリアン","1","エマ","2","髪の毛","4","ドア閉め忘れ","1","4.00%","手配ミス","0","0.00%","","2月","23日","残置","","ディパク","リナ","ベットにネイルが落ちていた","","2月","12日","","","ラジタ","","消臭スプレーなかった","","サムジャナ","ドア閉め忘れ","1","0.04","","","","","","","","","","","","",""
"","カマラ","1","サムジャナ","2","ドア閉め忘れ","1","巻き込み","1","4.00%","臭い","4","28.57%","","2月","28日","残置","","ジェ","バワニ","金庫に前泊者の物が入っていた","","2月","16日","","","ルドラ","","14:30清掃指示あったが13時頃ノックしてしまった。","","サンティ","巻き込み","1","0.04","","","","","","","","","","","","",""
"","シルジャナ","1","アニル","1","巻き込み","1","誤入室","1","4.00%","ホコリ","0","0.00%","","3月","13日","その他","","ディパク","ギタ","未掃部屋を清掃してしまった","","2月","17日","","","ラディカ","","AC,TVのリモコンが床に落ちており、マグカップがUBに移動していた。","","ジェ","誤入室","1","0.04","","","","","","","","","","","","",""
"","ソバ","1","イラノ","1","誤入室","1","","","","カビ","1","7.14%","","3月","13日","残置","","サムジャナ","サルミラ","窓のすみにライターがあった","","2月","18日","","","谷口","","冷蔵庫に前泊者の忘れ物(パック)があった。","","ジャムナ","","","","","","","","","","","","","","","",""
"","ビンデュ","1","ルドラ","1","","","","","","害虫","0","0.00%","","3月","13日","手配ミス","","ジェ","","点検完了していなかった","","2月","19日","","","ジェ","","下着巻き込み","","シルジャナ","","","","","","","","","","","","","","","",""
"","ラジタ","1","山田","1","","","","","","その他","1","7.14%","","3月","17日","セット漏れ","","サムジャナ","サンティ","帰館時ボディソープのボトルが無かった。","","2月","18日","","","","","部屋の清掃がいまいち","","ソバ","","","","","","","","","","","","","","","",""
"","ラリー","1","","","","","","","","合計","14","100.00%","","3月","19日","残置","","ディパク","サンデア","ベッドの下にペットボトルがあった。","","2月","17日","","","","","机の下に前泊者のゴミあり","","ビンデュ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","9月","14日","残置","","エマ","ビマラ","TVの後ろにカップ麵があった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","③　スタッフ別クレーム内容","","","","","","","","","","","","","9月","16日","汚れ","","アニル","サンティ","ガウン汚れあり","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","全員","","R8","","","","","","","","","","","9月","17日","その他","","ディパク","シルジャナ","シャワーヘッドが取れた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","月","日","クレーム種別","チェッカー","メイド","詳細内容","","","","","","","","9月","19日","髪の毛","","アルマ","モハン","ベッドに髪の毛があった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","5日","セット漏れ","イラノ","サムジャナ","ダブルセットになっていなかった","","","","","","","","9月","21日","口コミ","","","","パジャマの洗濯後の匂いが苦手な匂いだった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","7日","セット漏れ","サムジャナ","ビンデュ","シャンプーがなかった","","","","","","","","9月","21日","口コミ","","","","ベッドシーツにに髪の毛が付いていた。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","7日","口コミ","","","UB換気悪い","","","","","","","","9月","25日","残置","","","ナバーロ","ベットと壁の隙間に眼鏡ケースがあった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","7日","口コミ","","","栓のチェーン根元のステンレスの部分から髪の毛が出てきた","","","","","","","","9月","26日","髪の毛","","イラノ","ジャスミン","UBバスタブ内に髪の毛落ちてた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","10日","口コミ","","","寝巻き、枕カバー、ニオイあり","","","","","","","","9月","30日","髪の毛","","ジャムナ","サンジュ","ケトル内に髪の毛","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","11日","その他","谷口","","リセッシュボトルがデスク上に置いたまま。","","","","","","","","10月","2日","手配ミス","","ジェ","サムジャナ","バスマット２枚の依頼だったが入ってなかった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","12日","残置","ラディカ","サンティ","冷蔵庫に前泊者のペットボトルあり","","","","","","","","10月","7日","口コミ","","","","シャワーのゴムパッキンがとれて水漏れ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","12日","セット漏れ","ラジタ","","消臭スプレーなかった","","","","","","","","10月","7日","口コミ","","","","シャワールームカビ臭い","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","16日","その他","ルドラ","","14:30清掃指示あったが13時頃ノックしてしまった。","","","","","","","","10月","14日","残置","","ジャムナ","ナバーロ","予備のトイレットペーパーの下にゴミが落ちていた。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","17日","その他","ラディカ","サムジャナ","AC,TVのリモコンが床に落ちており、マグカップがUBに移動していた。","","","","","","","","10月","14日","手配ミス","","ジャムナ","ナバーロ","歯ブラシの袋が開いていて濡れてた。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","17日","口コミ","","","机の下に前泊者のゴミあり","","","","","","","","10月","14日","口コミ","","","","ガウンが臭かった。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","18日","残置","谷口","ラリー","冷蔵庫に前泊者の忘れ物(パック)があった。","","","","","","","","10月","16日","口コミ","","","","枕脇に髪の毛","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","18日","口コミ","","","部屋の清掃がいまいち","","","","","","","","10月","23日","残置","","ジャムナ","サンジュ","ベッド足元付近に電子タバコが落ちてた。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","19日","巻き込み","ジェ","","下着巻き込み","","","","","","","","10月","28日","口コミ","","","","今回は枕が臭かった。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","23日","口コミ","","","ガウンに髪の毛","","","","","","","","10月","29日","口コミ","","","","禁煙部屋にタバコのニオイあり","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","23日","残置","サムジャナ","サンティ","前泊者のワイシャツがワードローブ上に置きっぱなしだった。","","","","","","","","11月","1日","セット漏れ","","アルマ","モハン","歯ブラシ１本ない","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","27日","髪の毛","谷口","ラジタ","バスタブ内髪の毛","","","","","","","","11月","2日","残置","","ジャムナ","ラリー","ベット下からおむつ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","27日","口コミ","","","トイレの水洗ノブが取れそう","","","","","","","","11月","3日","残置","","イラノ","サンジタ","トイレのゴミが机の上に置きっぱなし","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","1日","口コミ","","","清掃道具入れのドアが開けっぱなし","","","","","","","","11月","3日","口コミ","","","","ベッドの下に前泊者の靴下があった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","5日","残置","ジェ","モハン","前泊者のピアス落ちてた","","","","","","","","11月","4日","汚れ","","イラノ","","デュべに汚れ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","6日","口コミ","","","冷蔵庫の中に髪の毛","","","","","","","","11月","4日","口コミ","","","","トイレのゴミが机の上にあった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","11日","髪の毛","ジャムナ","プスカル","UBの壁に髪の毛が付いたままだった","","","","","","","","11月","14日","髪の毛","","ジェ","ススマ","コップの中に髪の毛が入っていた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","11日","髪の毛","エマ","アディカリ","鏡に水滴のあと、汚れUB内壁に長い髪の毛がついていた","","","","","","","","11月","15日","口コミ","","","","浴槽にぬめりあり","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","16日","清掃不備","ジャムナ","ソバ","デスク下のカーペットが濡れている","","","","","","","","11月","15日","その他","","カマラ","エマ","便座あいてた、ベイシン栓しまってた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","21日","ドア閉め忘れ","ラジタ","","ドアストッパー挟まっててドアあいていた","","","","","","","","11月","16日","口コミ","","","","UB天井に小さなカビ２か所","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","25日","口コミ","","","2度寝しようとしていたけど、9時頃に話し声や物の音が大きかった","","","","","","","","11月","18日","口コミ","","","","ガウンくさい","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","26日","清掃不備","ラジタ","サンティ","湯船からゴミ（ホコリ）がわいてきた。シャワーカーテン臭い。","","","","","","","","11月","20日","その他","","ディパク","サルミラ","禁煙部屋なのにたばこくさい","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","27日","残置","ラディカ","プスカル","前泊者の忘れ物あった","","","","","","","","11月","22日","セット漏れ","","ディパク","サルスティ","歯ブラシなかった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","29日","その他","エマ","","タブレット押し間違い未点検部屋へ通してしまった","","","","","","","","11月","26日","口コミ","","","","タオル臭い","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","30日","口コミ","","","ブラインドが壊れていたが直ぐに直してくれた","","","","","","","","12月","4日","その他","","","プスカル","デスクシタ内に現金800円の忘れ物があったが報告がなかった。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","2日","セット漏れ","ラディカ","アディカリ","UBにタオル類が何もなかった","","","","","","","","12月","7日","髪の毛","","","サムジャナ","枕カバー内に毛髪があった。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","2日","口コミ","","","部屋が臭い","","","","","","","","12月","2日","口コミ","","","","ガウン臭い","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","5日","セット漏れ","アニル","シルジャナ","シャンプー類のボトルがなかった","","","","","","","","12月","2日","口コミ","","","","シーツに髪の毛","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","5日","口コミ","","","髪の毛、椅子ホコリ、ドライヤーホコリ","","","","","","","","12月","8日","その他","","","ススマ","IN後部屋の窓が開いていた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","6日","口コミ","","","エアコンニオイ","","","","","","","","12月","14日","残置","","ラジタ","ラリー","前泊者のモノが冷蔵庫にあった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","7日","清掃不備","ラジタ","ウェリアン","歯ブラシ開封済みだった","","","","","","","","12月","14日","その他","","","カビタ","ヘアワックス忘れたがない","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","7日","口コミ","","","部屋から戻るとデスクの上の電話が真ん中にあり、椅子も出しっぱなし。","","","","","","","","12月","17日","残置","","イラノ","ジェイ","冷蔵庫の中に前泊者の忘れ物(水)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","8日","口コミ","","","朝８時からの清掃の音はいいが、びっくりする音はありえない。","","","","","","","","12月","17日","口コミ","","","","便座に尿のあと","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","11日","清掃不備","山田","モハン","ケトルの中に毛","","","","","","","","12月","19日","その他","","","マヤ","ノータッチ指示が出ていたが清掃してしまった。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","11日","口コミ","","","枕カバーにカビ","","","","","","","","12月","24日","セット漏れ","","ゴマ","ジェイ","スリッパ4セットの指示だったが2つしかなかった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","13日","髪の毛","ジャムナ","サムジャナ","ハンドタオルに髪の毛","","","","","","","","12月","25日","汚れ","","イラノ","サムジャナ","UB内に血がたれた跡がある","","","","","","","","","","","","","","","","","","","","","","","","","",""
