"","①　R7~R8クレーム率推移・口コミ指摘率 R7データ（去年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","R8データ（今年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","10月","7日","セット漏れ","","-","-","新しい歯ブラシのみ設置がなかった(DDセット)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","③　スタッフ別クレーム内容","","","","","","","","","","","","","10月","5日","その他","","確認中","川名","虫の死骸が部屋にあった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","全員","","R8","","","","","","","","","","","10月","18日","その他","","確認中","ベル","ドライヤー設置漏れ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","月","","クレーム種別","","メイド","","","","","","","","","10月","26日","その他","","-","川名","滞在のお客様の冷蔵庫のスイッチが切れていた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","","口コミ","","","","","","","","","","","10月","26日","残置","","ラジタ","池上","冷蔵庫の中に前泊者のお茶が入っていた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","","口コミ","","","","","","","","","","","10月","21日","口コミ","","不明","不明","浴槽に残毛が1本","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","","汚れ","","岩田","","","","","","","","","11月","1日","髪の毛","","セルフ","寺島","ゴム栓に髪の毛がついてた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","","残置","","ベル","","","","","","","","","11月","4日","清掃不備","","島村","アミナタ","サイドデスクに置いていたチューブ状の薬がなくなった。お客さんはお怒りなく、そのまま宿泊。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","","汚れ","","ベル","","","","","","","","","11月","4日","口コミ","","","","お風呂の掃除が徹底されていなかった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","","汚れ","","寺島","","","","","","","","","10月","28日","口コミ","","","","シーツが少し汚れていた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","","セット漏れ","","ヤスミン","","","","","","","","","11月","19日","残置","","ラジタ","川名","デスクの足元右側に飴が落ちていた(黒に近い紫色)
トイレが汚れている","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","","セット漏れ","","アンジェラ","","","","","","","","","11月","17日","口コミ","","-","寺島","浴室に虫がいた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","","セット漏れ","","駒野","","","","","","","","","11月","21日","汚れ","","春名/島村","スシラ","フェイスタオル1枚に汚れあり","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","11月","22日","その他","","セルフ","寺島","ゲストのAirPods巻き込み","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","11月","26日","残置","","ラジタ","アリアン","開封済の緑茶が置いてあった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","11月","27日","その他","","ラジタ","ヤムナ","半ドアのままになっていた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","11月","29日","清掃不備","","セルフ","岩田","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","12月","3日","口コミ","","","","部屋の隅にホコリ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","12月","30日","残置","","セルフ","森","開封済み歯ブラシの残置、新しい歯ブラシのセット漏れ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","12月","25日","口コミ","","","","部屋に染み込んだタバコの臭い","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","12月","26日","口コミ","","","","冷蔵庫周りとデスクの隙間の埃、浴室の臭い","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","12月","28日","口コミ","","","","空調汚い、スプリンクラーの埃","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","10日","残置","","セルフ","寺島","冷蔵庫内に250mlペットボトルあり。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","6日","口コミ","","","","浴槽と流しに髪の毛あり","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","12日","口コミ","","","","お風呂の蓋が外れていた(オーバーフロー金具？)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","17日","清掃不備","","セルフ","森","部屋が全くの未清掃だった","","","","","","","","","","","","","","","","","","","","","","","","","",""
